question,optionA,optionB,optionC,optionD,correctAnswer
"Consider the following statements regarding India's position in the World Bank: 1. India holds exactly 2.91% of the voting share. 2. India is the 5th largest stakeholder in the World Bank. Which of the statements given above is/are correct?","1 only","2 only","Both 1 and 2","Neither 1 nor 2","A"
"Which of the following accurately describes the funding structure of a member country's quota in the IMF?","50% Domestic Currency and 50% SDRs","75% SDRs and 25% Domestic Currency","75% Domestic Currency and 25% SDRs","100% SDRs","C"
"Regarding the World Bank Group agencies, consider the following statements: 1. The primary motive of the IBRD was originally to eradicate extreme poverty in the 82 poorest nations. 2. The IDA is the main source of funds for the 82 poorest nations in the world. Which of the statements given above is/are correct?","1 only","2 only","Both 1 and 2","Neither 1 nor 2","B"
"Match the GATT Rounds with their respective host countries: a. Torquay Round (3rd), b. Annecy Round (2nd), c. Dillon Round (5th), d. Tokyo Round (7th) | 1. France, 2. Switzerland, 3. UK, 4. Japan.","a-3, b-1, c-2, d-4","a-1, b-3, c-2, d-4","a-3, b-2, c-1, d-4","a-2, b-1, c-3, d-4","A"
"According to the notes, what was the original historical equivalent value of 1 Special Drawing Right (SDR) before the gold standard was removed?","0.55567 gm of Gold = 1 US$","0.88867 gm of Gold = 1 US$","1.22867 gm of Gold = 1 Euro","0.88867 gm of Gold = 1 Pound","B"
"Which of the following currencies is officially referred to as ""Runmin bi"" in the SDR basket, and what is its weightage?","Yen, 7.59%","Yuan, 12.28%","Euro, 29.31%","Yuan, 7.44%","B"
"Consider the following reports: 1. World Development Report 2. Global Financial Development Report 3. World Economic Outlook 4. Remittances and Migration Report. Which of the above are released exclusively by the World Bank?","1, 2, and 3 only","2, 3, and 4 only","1, 2, and 4 only","1, 3, and 4 only","C"
"Assertion (A): India crossed the Panchsheel agreements in 1971. Reason (R): Jawaharlal Nehru established the Panchsheel agreements in 1954 to ensure no country involves itself in another country's internal matters.","Both A and R are true, and R is the correct explanation of A.","Both A and R are true, but R is not the correct explanation of A.","A is true, but R is false.","A is false, but R is true.","B"
"When the GATT was transferred into the WTO in 1995, the term ""Round"" (used for discussions) was replaced with:","Institutional Assembly","Ministerial Conference","Trade Aggrement Council","Global Tariff Summit","B"
"Which agency of the World Bank Group is explicitly described as playing an ""Advisory role""?","IBRD","IDA","IFC","MIGA","C"
"The Uruguay Round (1986-1994) resulted in key decisions, including: 1. Extending GATT rules to encompass Services. 2. Giving institutional status to the GATT. 3. Shifting the headquarters of GATT from Marrakesh to Geneva. Which of the statements given above is/are correct?","1 and 2 only","2 and 3 only","1 and 3 only","1, 2, and 3","A"
"In the context of WTO principles, what does a ""Security exception"" permit a member country to do?","Unilaterally eliminate all tariffs on imported defense equipment.","Implement certain trade restrictions for national security reasons, subject to WTO rules.","Bypass the MFN principle exclusively for neighboring countries during wartime.","Reduce tariffs one-sidedly for developing nations experiencing internal conflict.","B"
"Which of the following is NOT listed as a function of the IMF in the provided notes?","Sets inflation targets","Issues Capital Market Bonds in the international market","Solves BOP (Balance of Payments) related crisis","Ensures exchange rate stability","B"
"Consider the following statements about the IMF Managing Director: 1. The current MD is Kristalina Georgieva, who hails from Bulgaria. 2. Her second term reappointment took effect on October 1, 2024. Which of the statements given above is/are correct?","1 only","2 only","Both 1 and 2","Neither 1 nor 2","C"
"Match the World Bank funded projects with their associated states/descriptions: a. Kosi Flood Recovery Project, b. Amaravati, c. EDFC | 1. Capital of Andhra Pradesh, 2. Goods Carrier, 3. Bihar.","a-3, b-1, c-2","a-3, b-2, c-1","a-1, b-3, c-2","a-2, b-1, c-3","A"
"Under the WTO's Generalized System of Preferences (GSP), which of the following scenarios is valid?","Two developing countries mutually eliminate tariffs.","Developed countries reduce tariffs one-sidedly for developing countries.","Developing countries reduce tariffs one-sidedly for developed countries.","All member nations apply the exact same internal taxes to goods.","B"
"Consider the following statements regarding ""Bus diplomacy"": 1. It took place in 1999. 2. The bus traveled from Delhi to Lahore. 3. It involved Atal Bihari Vajpayee and Nawaz Shareef. Which of the statements given above are correct?","1 and 2 only","2 and 3 only","1 and 3 only","1, 2, and 3","D"
"According to the formula for Forex Reserves of the RBI, what does 'FCA' stand for?","Foreign Capital Assets","Foreign Currency Assets","Fiscal Currency Allocation","Foreign Credit Assets","B"
"How many basic votes does an IMF member country currently receive, and what is the requirement for 1 additional vote?","Basic votes = 1452; 1 additional vote per 1 Lakh SDR investment.","Basic votes = 1000; 1 additional vote per 1 Million SDR investment.","Basic votes = 1452; 1 additional vote per 10 Lakh SDR investment.","Basic votes = 1; 1 additional vote per 1000 SDR investment.","A"
"Match the military operations with their specific locations as per the notes: a. Operation Smiling Buddha (1974), b. Operation Chagai (1998), c. Operation Meghdoot (1984) | 1. Kashmir, 2. Balochistan, Pakistan, 3. Pokhran, Jaisalmer, Rajasthan.","a-3, b-2, c-1","a-2, b-3, c-1","a-3, b-1, c-2","a-1, b-2, c-3","A"
"Consider the following statements regarding the World Bank's leadership and shareholding: 1. The present president, Ajay Banga, assumed office on June 2, 2023. 2. Germany holds a higher voting share percentage than France. Which of the statements given above is/are correct?","1 only","2 only","Both 1 and 2","Neither 1 nor 2","C"
"According to the notes, the decision to form the GATT was taken at:","The Marrakesh Agreement","The Bretton Woods commission","The Geneva Round","The Uruguay Round","B"
"Which of the following best describes the ""National Treatment"" principle under the WTO?","Applying the same import tariff to all member nations.","Giving a 10% tariff exclusively to neighboring countries.","Applying the same internal tax/treatment to imported goods as given to domestic goods.","Pledging a maximum tariff limit that cannot be exceeded.","C"
"According to the notes, in which year did ""Operation Rajiv"" occur, and who was its project director?","1984, Rajiv Gandhi","1987, Rajiv","1998, Rajiv","1999, Rajiv","B"
"During the Kargil War (1999), what critical action was taken by the USA that affected India?","The USA deployed a nuclear weapon against India.","The USA supplied the Mossad system to the Indian Army.","The USA switched off the GPS system.","The USA signed the Lahore Agreement with Pakistan.","C"
