question,optionA,optionB,optionC,optionD,correctAnswer
"What is SQL?","A query language for databases","A type of database","An operating system","A network protocol","A"
"What does DBMS stand for?","Data Base Management System","Digital Base Memory Store","Data Byte Management System","Distributed Binary Management System","A"
"Which of the following is a DDL command?","SELECT","INSERT","CREATE","UPDATE","C"
"What is a primary key?","A unique identifier for each row","A duplicate value allowed column","A foreign key reference","A type of index","A"
"What is normalization in DBMS?","Process of organizing data to reduce redundancy","Process of deleting duplicate data","Process of duplicating data across tables","Process of encrypting data","A"
"Which SQL command is used to retrieve data?","INSERT","UPDATE","SELECT","DELETE","C"
"What is a foreign key?","A key that references the primary key of another table","A key that is always unique","A key used for indexing","A primary key duplicate","A"
"What is a JOIN in SQL?","Combines rows from two or more tables","Deletes rows from a table","Updates multiple rows","Creates a new table","A"
"Which normal form eliminates partial dependencies?","1NF","2NF","3NF","BCNF","B"
"What is a transaction in DBMS?","A unit of work performed on a database","A type of table","A query operation","A backup operation","A"
"Which property ensures a committed transaction remains committed?","Atomicity","Consistency","Isolation","Durability","D"
"What does ACID stand for?","Atomicity Consistency Isolation Durability","Atomic Commit Isolation Data","All Consistent Indexed Data","Automated Commit Index Durability","A"
"What is a view in SQL?","A virtual table based on a query result","A physical table stored on disk","A type of index","A stored procedure","A"
"Which command removes a table and its data permanently?","DELETE","TRUNCATE","DROP","REMOVE","C"
"What is an index in DBMS?","A data structure to speed up query retrieval","A unique constraint on a column","A type of join","A foreign key reference","A"
"What does GROUP BY do in SQL?","Groups rows sharing a property for aggregate functions","Sorts result in ascending order","Filters rows based on condition","Joins two tables","A"
"Which clause is used to filter groups in SQL?","WHERE","HAVING","GROUP BY","ORDER BY","B"
"What is a stored procedure?","A precompiled collection of SQL statements","A type of trigger","A virtual table","An index type","A"
"What is deadlock in DBMS?","A situation where two transactions wait for each other indefinitely","A database crash","A constraint violation","A slow query issue","A"
"Which SQL keyword removes duplicate rows from results?","UNIQUE","DISTINCT","DIFFERENT","NODUPLICATE","B"
